datum,podnik,jedlo_1,jedlo_2,jedlo_3,jedlo_4
2021-07-19,Milton,Vyprazane kusky z kuracich prs obalovane kukuricnych lupienkoch,Zapekany lososovy steak so spenatovou krustou,Bazantie prsia so susenymi slivkami a slaninkou Sous Vide,Sufle z bielej cokolady a cucoriedkovy couilis,
2021-07-19,Prazsky pub,Zemiakovy krem so sampinonmi,Kuracie rizoto so zeleninou struhanym syrom a kyslou uhorkou,Penne s masovym ragu na smotane s rukolou,,
2021-07-19,Red Cafe,Zeleninova s haluskami polievka,Kuraci steak na cheddarovej omacke dusena ryza,Salat s grilovanym camembertom a prosciuttom,Vyprazany syr hranolky tatarska omacka,Pizza sunkova salamova sampinonova
2021-07-19,Suvlaki,Zeleninova polievka,Dusene bravcove maso s mandarinkami,Pecene kuracie stehienka s feniklom cervenou paprikou,,
2021-07-19,Svadby a Kari,Cviklovy krem s kokosovym mliekom VEGAN,Thajske kokosovo mangove VEGAN kari s tekvicou mrkvou a cicerom uhorkovy salat so sezamom,Indicka Tikka Masala s kuracim masom mrkvou a hraskom uhorkovy salat so sezamom,,
2021-07-19,Veglife,Koprova polievka s kukuricou,Brokolicove natural rizoto s mrkvou a tempehom,Robi platky na svieckovej omacke pecene zemiaky,Aloo matar kofty v paradajkovo kokosovej omacke indicke zemiaky,Salat Coleslaw
2021-07-20,Alzbetka,Sosovicova s klobasou,Hovadzi gulas s karlovarskou knedlou,Tagliatelle s kuracim masom susene paradajky a rukola,Mix listovych salatov s kozim syrom jablkami a pecenou cviklou,
2021-07-20,Bioland,Hlivova s hraskom zemiakmi a petrzlenovou vnatou alergeny neobsahuje,Bulgurove gulocky s veganskym syrom na paprikovej omacke alergeny lepok,Tofu s kari a zeleninou na ryzovych rezancoch s kruzkami cervenej cibule alergeny soja horcicne semienko,Jablkova sarlotka alergeny vajcia lepok,
2021-07-20,BlueBear,Luskova polievka so zemiakmi,Vyprazany karfiol s varenymi zemiakmi tatarska omacka,Masove lasagne zapekane so syrom a s rukolou,,TYZDENNE Grilovany losos na pecenom zemiaku s wakame riasou a limetkovou redukciou
2021-07-20,Centr klub,Zemiakova na kyslo s koprom,Salat s kuracim masom paradajka krutony aioli dresing,Steak z kare bylinkove maslo hranolky udena majoneza,,
2021-07-20,Ceska piv,Slepaci vyvar s masom a rezancami,Francuzska cibulacka,Kuracie prsia zapekane s mozzarellou a susenou paradajkou ryza,Kuraci perkelt zo stehna s haluskami,Salat s kuracimi nugetkami medovo horcicovy dresing
2021-07-20,Galileo,Kelova polievka s parkom,Kuraci steak so sunkou a vajcom ryza hranolky,Ryzovy nakyp,Salaty Grecky Kuraci  Prosciutto s mozzarellou Tuniakovy,Pizza pecena original na dreve Funghi Cardinalle Salami Hawai
2021-07-20,Kasa,Fazulove trio polievka,Hlivovy gulas,Pecene kura pecenova plnka volitelna,,
2021-07-20,Milton,Cicerova polievka s klobaskou a korenovou zeleninou,Domaca sekana z mozzarellou a panchettou,Vyprazane krokety z mungo fazule a feta syru,Bravcova panenka plnena susenymi paradajkami a bazalkou,Domaca torta podla Rudka
2021-07-20,Prazsky pub,Hovadzi vyvar,Bravcovy rezen s ryzou a kapustovym salatom,,,
2021-07-20,Red Cafe,Gulasova polievka,Panenka na rozmarine americke zemiaky mix salat,Bryndzove halusky so slaninkou,Vyprazany syr hranolky tatarska omacka,Pizza sunkova salamova sampinonova
2021-07-20,Suvlaki,Paradajkova polievka,Peceny LOSOS s olivami a rozmarinom,Grilovany KURACI STEAK s articokmi a cherry paradajkami,,
2021-07-20,Svadby a Kari,Fazulova polievka so susenymi paradajkami a cerstvym oreganom VEGAN,Thajske zlte VEGAN kari s cuketou maslovou fazulou a sampinonmi papayovy salat s arasidmi,Vietnamske hovadzie kari s ananasom cuketou a mrkvou   papayovy salat s arasidmi,,
2021-07-20,Veglife,Minestrone polievka,Thajske zlte kari s mangom ryza jasminova B V P,Ratatouille petrzlenove zemiaky,Carbonara spagety s tempehom,Salat Bulgurovy tabbouleh
2021-07-21,Alzbetka,Francuzska cibulacka so syrom,Kuracie nugetky so zemiakovymi hranolkami a syrovym dresingom,Peceny bravcovy bocik s pecenymi baby zemiakmi a demi glace,Mix listovych salatov s kozim syrom jablkami a pecenou cviklou,
2021-07-21,Bioland,Zeleninova s cervenou sosovicou alergeny zeler,Pecene zemiakove placky s kyslou kapustou alergeny neobsahuje,Hrstkova kasa s robi masom alergeny lepok,Cokoladove brownies s gastanovym kremom alergeny vajcia lepok mlieko,
2021-07-21,BlueBear,Zemiakova polievka s klobasou,Orechove sulance s maslom a cukrovou posypkou,Plneny morcaci rezen s opekanymi zemiakmi tatarska omacka,,TYZDENNE Grilovany losos na pecenom zemiaku s wakame riasou a limetkovou redukciou
2021-07-21,Centr klub,Hrstkova s majoranom,Furmanske halusky s udenym syrom a klobasou,Morcacie stehno na vine zemiakova kasa,,
2021-07-21,Ceska piv,Slepaci vyvar s masom a rezancami,Brokolicova kremova polievka,Kuracie prsia na prirodno s restovanym listovym spenatom a slaninkou ryza,Segedinsky gulas s parenou knedlou,Salat s grilovanym encianom hroznom a orechami brusnicovy dip
2021-07-21,Galileo,Zeleninova polievka s haluskami,Hovadzie varene s koprovou omackou a knedlou,Zabijackovy tanier s varenymni zemiakmi a kyslou kapustou,Salaty Grecky Kuraci  Prosciutto s mozzarellou Tuniakovy,Pizza pecena original na dreve Funghi Cardinalle Salami Hawai
2021-07-21,Kasa,Slepaci vyvar,Gratinovane bataty so spenatom,Hovadzia svieckovica na chrenovej omacke,,
2021-07-21,Milton,Kremova polievka z struhanej bielej tekvice a kopru na kyslo,Madarsky hovadzi gulas hovadzie zadne,Grilovany steak z tuniaka bazalkove maslo,Grilovane kacacie prsia plnene pate z kuracej pecene Sous Vide,Mangovo cokoladova ladova terina s naslahanou ricottou podavana v brusnicovej studenej omacke
