datum,podnik,jedlo_1,jedlo_2,jedlo_3,jedlo_4
2021-08-18,RTVS,Zeleninová jarná,Bryndzové halušky so slaninkou,Bravčový steak s volským okom dusená ryža,Mletý rezeň so syrom zemiaky s vňaťkou,
2021-08-18,Spilka,Zalerový krém s klobáskou,Chili con carne s ryžou zapečené cheddar syrom,Zemiakové šúľance s makom a brusnicami,,
2021-08-18,Veda,Thajská karfiólová,Gobi beans karfiól a zelená fazuľka v indickej omáčke,Aloo makhanwala zemiaky v indickej maslovej omáčke,,
2021-08-18,Veglife,Tom Kha Thajská polievka B V P,Zeleninové tajine ryža natural,Tekvicový quiche s balkánskym syrom petržlenové zemiaky,Gnocchi s pečenou letnou zeleninou a parmezánom,Šalát Uhorkový s mätou
2021-08-19,Alzbetka,Gulasova,Kuraci steak zapekany so sesenymi paradajkami a mozzarellou s dusenou ryzou,Spagety s masovymi gulickami v paradajkovej omacke s parmezanom,Ceasar salat s kuracim masom a chlebovymi krutonmi,
2021-08-19,Bioland,Hubová na kyslo so zemiakmi a čerstvým kôprom alergény neobsahuje,Vegánske šošovičné bolognese špagety alergény lepok sója,Miešaný šalát s uhorkou paprikou paradajkou slneč sem gréckym syrom a hor med zálievkou alergény mlieko horčičné semienko,Čokoládový cheesecake alergény mlieko vajcia lepok,
2021-08-19,BlueBear,Zemiaková polievka s restovanou šunkou,Sviečková na smotane s parenou knedľou,G Paradajkové rizoto s bazalkou a parmezánom,,TYZDENNE Waffla burger so šťavnatým hovädzím mäsom cheddarom slaninou vajíčkom s domácimi hranolkami
2021-08-19,Centr klub,Frankfurtská s párkom,Špagety Bolognese,Pečené morčacie stehno zemiakové štvrte bylinkový dresing,,
2021-08-19,Ceska piv,Slepačí vývar s mäsom a rezancami,Frankfurtská polievka,Kuracie prsia zapekané s cheddarom sušenou paradajkou a ryžou,Segedínsky guláš s knedľou,Caesar šalát
2021-08-19,Dilema,Urajinský cviklový boršč VEGAN,Indický VEGAN Dhal z červenej šošovice s čerstvými marhuľami  ľadový šalát s olivami,Vietnamské hovädzie kari s ananásom cuketou a mrkvou   ľadový šalát s olivami,,
2021-08-19,Galileo,Kapustová polievka,Vaprážaný patizon v cestíčku so slnečnicou varené zemiaky tat omáčka,,,
2021-08-19,Milton,Brokolicový krém s kokosovým mliekom a so zelenou kari pastou,Konfitované a zapečené bravčové rebrá na spôsob Barbecue,Grilovaná morská ryba,Grilované hovädzie filé s Foie Gras hov sviečkovica,Čokoládové Creme brulée domáci višňový kompót
2021-08-19,Prazsky pub,Šošovicová na kyslo,Sviečková na smotane s parenou knedľou,Farfalle s kuracím mäsom syrovou omáčkou a pórom,,
2021-08-19,Red Cafe,Fazuľová na kyslo polievka,Kuracie Teriyaki basmati ryža,Pečené br rebierka kyslá obloha chlieb,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-08-19,RTVS,Hŕstková,Granatierský pochod kyslá uhorka,Prírodná hovädzia roštenka ryža basmati,Bravčové mäso chrenová omáčka parená knedľa,
2021-08-19,Spilka,Boršč,Bravčové líčka s brusnicovou omáčkou a zemiakovým pyré,Bryndzové halušky s opekanou cibuľkou    f,,
2021-08-19,Svadby a Kari,Urajinský cviklový boršč VEGAN,Indický VEGAN Dhal z červenej šošovice s čerstvými marhuľami  ľadový šalát s olivami,Vietnamské hovädzie kari s ananásom cuketou a mrkvou   ľadový šalát s olivami,,
2021-08-19,Veda,Thajská zemiaková s mini kukuricou,Palak brocolli tamatar brokolica a paradajky v indickej špenátovej omáčke,Gwarati curry knedlíčky z cícerovej múky v indickej jogurtovej omáčke,,
2021-08-19,Veglife,Karfiolová krémová polievka,Bolonské lasagne,Goody foody zeleninový wok ryža basmati,Hokaido paprikáš s údeným tempehom pečené zemiaky,Šalát Sezamovo špenátový
2021-08-20,Alzbetka,Kacaci vyvar s pecenovymi knedlickami,Vyprazany kuracie nugetky so pecenymi zemiakmi syrovym dresingom,Losos na bylinkach s pecenuo zeleninou    Ceasar salat s kuracim masom a chlebovymi krutonmi,,
2021-08-20,Bioland,Hrachová krémová s vegánskou slaninou alergény neobsahuje,INDIA KOFTA Cícerovo špenátová fašírka s basmati ryžou a mangovým dresingom alergény sézam,Gratinované bylinkové zemiaky s baby špenátom parmezánom a miešaným šalátom alergény mlieko,Chia puding z kokosového mlieka a ovocím alergény neobsahuje,
2021-08-20,BlueBear,Hlivová polievka s bulgurom,Francúzske zemiaky s kyslou smotanou klobásou a uhorkovým šalátom,Kuracie vykostené stehno v syrovom cestíčku so zemiakovou kašou a kyslou uhorkou,,TYZDENNE Waffla burger so šťavnatým hovädzím mäsom cheddarom slaninou vajíčkom s domácimi hranolkami
2021-08-20,Centr klub,Zeleninový boršč,Vyprážaný karfiól varené zemiaky tatarská omáčka,Bravčová panenka na hubách tarhoňa,,
2021-08-20,Ceska piv,Slepačí vývar s mäsom a rezancami,Šampiňónová krémová,Kuracie stehno s broskyňovým kompótom a ryžou,Bolonské špagety s bazalkou a parmezánom,Šúľance s makom plnené slivkovým lekvárom
2021-08-20,Dilema,Slepačí vývar s rezancami a zeleninou N,Zapekané penne s kuracím mäsom zeleninou a goudou šalátik,Bravčové karé po SRBSKY ryža,Vyprážaná PARENICA hranolky naša domáca tatárska omáčka    Mani HdÁvramaA  ŠACA Ax,
2021-08-20,Galileo,Zeleninová polievka,Vyprážaný hermelín s hranolkami a tatárskou omčkou,,,
2021-08-20,Milton,Šalátová polievka z rímskeho šalátu batatov a zašľahaného vajíčka,Ragú Alla Bolognese,Dukátové buchtičky,Grilovaný filetovaný pstruh,Grilované kačacie prsia Sous Vide podávané krájané na plátky
2021-08-20,Prazsky pub,Mrkvová polievka s hráškom a krupicovými haluškami,Vyprážaná morská šťuka so zemiakovým šalátom,Gnocchi s restovanou kuracou pečienkou šalviou paradajkami a parmezánom,,
2021-08-20,Red Cafe,Zemiaková s klobáskou polievka,Kurací steak na glazovanej zeleninke prírodná omáčka,Bryndzové halušky so slaninkou,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-08-20,RTVS,Slepačia polievka s niťovkami,Sezónny zeleninový šalát s lososom,Vyprážaný syr pečené zemiaky tat omáčka,Bulgur s kuracím mäsom a pažitkou,
2021-08-20,Spilka,Špenátová polievka s vájíčkom       M,Pečené kuracie stehná plnené žemľovou plnkou sryžou,Perkele z hlivy ustricovej so špenátovými haluškami,,
2021-08-20,Svadby a Kari,Poctivá ostro kyslá polievka s kuracím mäsom a udeným tofu,Thajské VEGAN kari s galangalom a citrónovom trávou s tekvicou cuketou a zelenými fazuľkami paradajkový šalát s cícerom,Indické maslové Butter Chicken s kuracím mäsom batátmi paradajkami a hráškom  paradajkový šalát s cícerom,,
2021-08-20,Veda,Šampiónová,Pakora subzi zeleninové fašírky v indickej omáčke,Vegetable kadhi miešaná zelenina v indickej jogurtovej omáčke,,
2021-08-20,Veglife,Fazuľová polievka na kyslo,Krémové cuketovo citrónové rizoto s parmezánom,Paprika pln balkánskym syrom a pohánkou v parad omáčke pažítkové zemiaky,Batáty v arašidovej omáčke ryža jasmínová,Šalát Miešaný kukuricový
2021-09-09,Alzbetka,Slepaci vyvar s rezancami,Dusene hovadzie s koprovou omackou a parenou knedlou,Fettucciny s kuracim masom susenymi paradajkami parmezan a rukola,Listovy salat s udenym lososom a medovo horcicovym dresingom,
2021-09-09,Bioland,Zemiaková polievka s pórom a cibuľkou alergény neobsahuje,Sýty zemiakovo cícerový guláš s pohánkovým chlebíkom alergény neobsahuje,Celozrnné lasagne s paradajkovou omáčkou mozzarellou domácim bazalkovým pestom a šalátom alergény lepok mlieko orechy,Svieži mrkvový koláč alergény lepok mlieko vajcia,
2021-09-09,BlueBear,Kulajda,Jemne pikantný maďarský guláš s parenou knedľou,Vyprážaný zeleninový rezeň s batátovým pyré a rukolou,,TYZDENNE New York Burger s hovädzím mäsom slaninkou Vajíčkom a cibuľou s domácimi hranolkami
2021-09-09,Centr klub,Gulášová s majoránom,Jablkovo tvarohová žemľovka,Wrap s kuracím mäsom hranolky čili majonéza,,
2021-09-09,Ceska piv,Slepačí vývar s mäsom a rezancami,Karotkový krém,Bryndzové pirohy so slaninkou,Kuracia kapsa na prírodno plnená oštiepkom a slaninkou ryža a kapustový šalát,XXL Vyprážaný bravčový rezeň so slovenským zemiakovým šalátom
2021-09-09,Dilema,Brokolicový krém s krutónmi,PIVOVARSKÉ restované kuracie prsia a pečienka na čiernom pive dusená ryža,Bravčový REZNÍK zemiakový šalát s cibuľkou,PENNE ARRABBIATA parmezán rukola,
2021-09-09,Galileo,Zeleninová jarná polievka,Vyprážaný bravčový rezeň so slovenkým zemiakovým šalátom,,,
2021-09-09,Kasa,Paradajková rustikálna,Ratatouille,ŠPECIÁL Konfitované kačacie stehno rascová biela kapusta,,
2021-09-09,Milton,Minestrone talianska zeleninová polievka s paradajkovým pyré a bylinkami,Dusené hovädzie zadné z mladého býčka na víne a tymiane,Vyprážaný falafel cícerové guľky,Konfitované jahňacie kolienko na víne a cesnaku,U nás pripravovaný francúzsky krémeš
2021-09-09,Prazsky pub,Šošovicová na kyslo,Sviečková na smotane s parenou knedľou,Farfalle s kuracím mäsom syrovou omáčkou a pórom,,
2021-09-09,Red Cafe,Gulášová polievka,Grilovaná bravčová panenka na hríbikovej omáčke rozmarínové zemiaky,Vypr karfiol varené zemiaky tatárska omáčka,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-09-09,Spilka,Kukuričná polievka s klobáskou,Pečené morčacie prsia sdomácou plnkou a zemiakovým pyré,Tekvicový prívarok s pošírovaným vajíčkom a zemiakmi,,
2021-09-09,Suvlaki,Fazuľová polievka,MELITZANES PAPUTSAKIA Zapečený BAKLAŽAN s mletým mäsom bešamel omáčka,Dusené kuracie mäso s červenou paprikou horčicová omáčka,,
2021-09-09,Svadby a Kari,Poctivá ostrokyslá polievka s kuracím mäsom a údeným tofu,Indické VEGAN Aloo Gobi s karfiolom zemiakmi a hráškom  banánové čatní,Thajské žlté hovädzie kari s mrkvou a brokolicou   banánové čatní,,
2021-09-09,Veda,Thajská zemiaková s mini kukuricou,Palak brocolli tamatar brokolica a paradajky v indickej špenátovej omáčke,Kadhai mutter paneer farebná paprika hrášok a domáci syr v indickej maslovej omáčke,,
2021-09-09,Veglife,Cuketová krémová,Plnená paprika s goody foody v paradajkovej omáčke petržlenové zemiaky,Hubový paprikáš tarhoňa,Shepherd s pie Pastiersky koláč,Šalát Cviklový s vegan majonézou
2021-09-10,Alzbetka,Brokolicova so syrom,Vykostene kuracie stehno s hribovou omackou a tarhonou,Vyprazana hliva s varenymi zemiakmi a tatarskou omackou     Listovy salat s udenym lososom a medovo horcicovym dresingom,,
2021-09-10,Bioland,Polievka krémová z pečenej žltej papriky s kokosovým mliekom alergény neobsahuje,Koložvárska kapusta s restovanými šampiňónmi a tempehom alergény sója,Pohánkovo hlivové fašírky so zeleninovo zemiakovým pyré alergény neobsahuje,Ovocný koláč s chia a posýpkou alergény lepok vajcia mlieko,
2021-09-10,BlueBear,Jarná zeleninová polievka s mrveničkou,Obrátený bravčový rezeň so zemiakovou kašou a čalamádou,Tagliatelle so sušenou paradajkou slaninkou a hubami,,TYZDENNE New York Burger s hovädzím mäsom slaninkou Vajíčkom a cibuľou s domácimi hranolkami
2021-09-10,Centr klub,Mäsový vývar s fridatovými rezancami,Lasagne Bolognese s paradajkovou omáčkou,Vyprážaná treska majonézový šalát,,
2021-09-10,Ceska piv,Slepačí vývar s mäsom a rezancami,Zemiaková na kyslo s klobásou,Krémové hríbové rizoto s kuracím mäsom,Miešaný šalát s kozím syrom,XXL Vyprážaný bravčový rezeň so slovenským zemiakovým šalátom
2021-09-10,Dilema,Slepačí vývar s rezancami a zeleninou N,Pečená   KURAŤA ryža kompót,FRANCÚZSKE ZEMIAKY čalamáda,Vyprážaný SYR hranolky domáca tatárska omáčka    Mani NnAdávramaA  ŠACA A,
2021-09-10,Galileo,Patizónový kari krém,Kuracie prsia na prírodno so šunkou a oštiepkom s dusenou ryžou,,,
2021-09-10,Kasa,Kapustová detox,Cuketový prívarok vajce na tvrdo,Pečené kuracie stehno,,
2021-09-10,Milton,Provensálská polievka z fazuľkových luskov s bylinkami a ovocným octom,Vyprážaný syr so šunkou,Tvarohové guľky plnené jahodami,Grilovaný filetovaná ryba Mahi Mahi,Sous vide jelenie medajlónky a omáčka Grand Veneur
2021-09-10,Prazsky pub,Mrkvová polievka s hráškom a krupicovými haluškami,Vyprážaná morská šťuka so zemiakovým šalátom,Gnocchi s restovanou kuracou pečienkou šalviou paradajkami a parmezánom,,
2021-09-10,Red Cafe,Špenátová polievka,Bravčové rizoto s mozzarellou,Kurací kebab v tureckej žemli,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-09-10,Spilka,Špenátová polievka s vájíčkom       M,Fish  chips treska s cesnakovými hranolkami,Vyprážaný karfiol so zemiakmi a domácou rarárkou,,
2021-09-10,Suvlaki,Polievka,Hrášková polievka,Hlavné jedlo,,
2021-09-10,Svadby a Kari,Hubová polievka nakyslo s kôprom VEGAN,Thajské VEGAN červené kari s farebnými paprikami tekvicou cuketou a cícerom VEGAN coleslaw,Malajské kuracie kari s maslom GHEE zelenými fazuľkami paradajkami a kokosovým mliekom   VEGAN coleslaw,,
2021-09-10,Veda,Šampiónová,Pakora subzi zeleninové fašírky v indickej omáčke,Vegetable kadhi miešaná zelenina v indickej jogurtovej omáčke,,
2021-09-10,Veglife,Šošovicová polievka na kyslo,Karfiolový rezeň so syrom zemiakové pyré s maslom,Celozrnné špagety s červeným pestom orechami rukolou a tempehom,Gratinovaná brokolica so syrom a zemiakmi,Šalát Kelový šalát s jablkom a orechami
2021-09-13,Alzbetka,Mrkvový krém s krutónmi,Pečený bravčový bôčik s červenou kapustou a pečenými zemiakmi demi glace,Tekvicové natur rizoto ricotta tekvicové semiačka a rukola,Mix listových šalátov a čerstvej zeleniny s Halloumi syrom,
2021-09-13,Bioland,Feniklová krémová alergény neobsahuje,Karamelizované robi rezance basmati ryža s bazalkou zeleninový šalát alergény lepok sója,Brokolicový šalát s reďkovkou uhorkovou a vegan kokosovou smotanou alergény neobsahuje,Raw raffaello alergény orechy,
2021-09-13,BlueBear,Hrachová polievka s cesnakovým krutonom,Mäsové lasagne zapekané so syrom,Vyprážaný hermelín s varenými zemiakmi a tatárskou omáčkou,,TYZDENNE New York Burger s hovädzím mäsom slaninkou Vajíčkom a cibuľou s domácimi hranolkami
2021-09-13,Centr klub,Hráškový krém s opečeným chlebom,Gnocchi s tekvicovým pyré feta rukola,Kuracie prsia na kari s wok zeleninou jazmínová ryža,,
2021-09-13,Ceska piv,Slepačí vývar s mäsom a rezancami,Cesnaková krémová polievka,Kuracie prsia zapekané so slaninkou a enciánom ryža a miešaný šalát,Penne s grilovaným lososom a limetkovou omáčkou,Šalát s grilovaným údeným oštiepkom medovo horčicový dresing
2021-09-13,Dilema,Slepačí vývar s rezancami a zeleninou N,CAESAR ŠALÁT kuracie mäso slaninka dressing bagetka,SEGEDÍNSKY guľáš parená knedľa N,BRYNDZOVÉ PIROHY kyslá smotana vypečená slaninka jarná cibuľka N,
2021-09-13,Galileo,Zemiaková polievka na kyselo,Kurací Gordon Bleu s hráškovou ryžou a kapustovým šalátom,,,
2021-09-13,Kasa,Šampiňónová polievka so zemiakmi,Hokkaido karfiolové curry s kokosovým mliekom,Bravčový šašlík,,
2021-09-13,Milton,Krémová polievka z bielej fazule s jablčným octom a šalviou,Vyprážaný kurací rezeň kuracie prsia SK v bezlepkovej úprave,Grilovaná morská ryba,Grilované kačacie prsia,Jahodovo smotanové Zucotto torta v tvare polgule
2021-09-13,Prazsky pub,Zemiakový krém so šampiňónmi,Kuracie rizoto so zeleninou strúhaným syrom a kyslou uhorkou,Penne s mäsovým ragú na smotane s rukolou,,
2021-09-13,Red Cafe,Tekvicový krém z Hokkaido tekvice polievka,Bravčový Černohor rozmarínové zemiaky mix šalát,Caesar šalát s kuracím mäsom,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-09-13,Spilka,Vás minie peč,Álne  Sčime,Minestroné polievka      ďuhy,Kuracie prsia so zázvorom a restovanou ryžou,Vyprážaný hermelín s pečenými zemiakmi a brusnicami
2021-09-13,Suvlaki,CHIRINO JUVETSI Dusené bravčové mäso s cestovinou Kritharaki škoricou,Grilovaný kurací steak s baby špenátom a syrom feta,Zapečené lístkové cesto plnené šampiňonmi cuketou kurkumou a feniklom,,
2021-09-13,Svadby a Kari,Polievka z pečených paprík a paradajok s kokosovým mliekom VEGAN,Pápežské biele VEGAN kari so šampiňónmi cuketou a zelenými fazuľkami rukolovo paradajkový šalát,Indická Tikka Masala s kuracím mäsom mrkvou a hráškom rukolovo paradajkový šalát,,
2021-09-13,Veda,Paradajková s ryžou,Madrasi curry mango a mini kukurica v indickej omáčke,Malai kofta domáce syrové fašírky v indickej krémovej maslovej omáčke,,
2021-09-13,Veglife,Minestrone polievka,Krémové krupoto s pečenou paprikou parmezánom a koriandrom,Kapustové placky s údeným tofu šťuchané zemiaky s olivovým olejom,Seitan na spôsob Stroganoff ryža jasmínová,Šalát Kapustovo paradajkový s paprikou
2021-09-14,Alzbetka,Hrstková s údeným mäsom,Bravčový rezeň v Panko strúhanke so zemiakovou kašou a nakladanou uhorkou,Gnocchi s Feta syrom cherry paradajky bazalkové pesto a baby špenátom,Mix listových šalátov a čerstvej zeleniny s Halloumi syrom,
2021-09-14,Bioland,Uhorkovo šalátová krémová alergény neobsahuje,Baklažán so špenátom s omáčkou z miso pasty a pečené zemiaky alergény sója sézam,Pečený chrumkavý kaleráb s citrónom a zemiakovým šalátom alergény neobsahuje,Čokoládové brownies s gaštanovým krémom alergény vajcia lepok mlieko sója,
2021-09-14,BlueBear,Batatový krém s cesnakovým krutónom,Vyprážané kuracie pečienky s varenými zemiakmi a hlávkovým šalátom,Zeleninové lasagne zapekané so syrom s rukolou,,TYZDENNE Pečená bravčová panenka so zemiakovou štrúdľou a čučoriedkovou redukciou
2021-09-14,Centr klub,Šošovicová na kyslo,Cézar šalát s kuracím mäsom,Hovädzie varené kôprová omáčka parená knedľa,,
2021-09-14,Dilema,Cesnakový krém s krutónmi,Kurací STEAK restovanou zeleninou na tymiane ryža,ČIERNOHORSKY rezeň pečené rozmarínové zemiaky kapustový šalát,ŠPENÁTOVÉ HALUŠKY so syrovou omáčkou a grilovanou paradajkou,
2021-09-14,Galileo,Divinový vývar s cestovinou,Sviečková na smotane s knedľou,,,
2021-09-14,Kasa,Strakatá fazuľová polievka,Hummus so sézamovou mrkvou a pečeným cícerom,Hovädzia kofte,,
2021-09-14,Milton,Morčací vývar mäso koreňová zelenina a niťovky,Španielsky vtáčik plnené plátky z hovädzieho zadného stehna,Fritované mozzarellové guľky obaľované v kukuričných lupienkoch,Viedenský vyprážaný teľací rezeň teľacie karé bezlepková úprava,Domáca torta podľa Rudka
2021-09-14,Prazsky pub,Hovädzí vývar,Bravčový rezeň s ryžou a kapustovým šalátom,,,
2021-09-14,Red Cafe,Hovädzí vývar s celestínskymi rezancami polievka,Kurací perkelt maslové halušky,Grilovaný oštiepok na listovom šaláte s francúzskym dresingom,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-09-14,Spilka,Tekvicová polievka,Plnená paprika s parenou knedľou a rajčinovou omáčkou,Dusený špenát s pošírovaným vajíčkom azemiakmi,,
2021-09-14,Suvlaki,Rybacia polievka,Grilované KURACIE SUVLAKI špízy ks s domácimi hranolkami pita chlieb paradajky cibuľka tzatziky dip,Pečené bravčové guličky s tymiánom paradajková omáčka,Grilovaný grécky SYR MANURI,
2021-09-14,Svadby a Kari,Ukrajinský cviklový boršč VEGAN,Indický VEGAN Dhal z červenej šošovice s broskyňami  baklažánová raita,Vietnamské hovädzie kari s ananásom cuketou a mrkvou   baklažánová raita,,
2021-09-14,Veda,Thajská karfiólová,Gobi beans karfiól a zelená fazuľka v indickej omáčke,Yellow Thai Curry Žlté thajské kari,,
2021-09-14,Veglife,Hokaido polievka,Cviklovo zemiakový gratin,Grilované robi s červenou cibuľkou na hrachovej kaši pečené zemiaky,Ratatouille ryža natural,Šalát Mrkvovo pomarančový s baby špenátom a sedanom
2021-09-16,Alzbetka,Zemiakovo pórový krém,Sviečková na smotane s parenou knedľou a nakladané brusnice,Hovädzí Buritos so zemiakovými hranolkami a kyslou smotanou,Mix listových šalátov a čerstvej zeleniny s Halloumi syrom,
2021-09-16,Bioland,Vegánska gulášová s tempehom alergény sója,MEXICO Fazuľa v paradajkovej chilli omáčke indiánska a basmati ryža s avokádovým dresingom alergény neobsahuje,Cuketové špagety s bazalkovo avokádovou omáčkou alergény lepok,Banánové tiramisu alergény mlieko vajcia lepok,
2021-09-16,BlueBear,Kuracia krémová polievka s cícerom,Pečená fašírka plnená vajíčkom so zemiakovou kašou a čalamádou,Vyprážaný šunkovo syrový špíz s pečenými zemiakmi a tatárskou omáčkou,,TYZDENNE Pečená bravčová panenka so zemiakovou štrúdľou a čučoriedkovou redukciou
2021-09-16,Centr klub,Zemiaková krémová s údeným mäsom,Bravčové rizoto so syrom uhorkový šalát,Perkelt z morčacieho stehna a hlivy ustricovej tarhoňa,,
2021-09-16,Ceska piv,Slepačí vývar s mäsom a rezancami,Brokolicová krémova,Kuracie prsia na prírodno s fazuľkovými lúskami a ryžou,Bravčový rezeň v parmezánovom cestíčku so zemiakovou kašou a kyslou uhorkou,Šalát s grilovaným kozím syrom a prosciuttom
2021-09-16,Dilema,Hrstková s údeninou,Kuracie GREEN kari so zeleninou jasminová ryža,Hovädzie varené s chrenovou omáčkou parená knedľa,PENNE POMODORO s baby mozzarellou a bazalkovým pe,
2021-09-16,Galileo,Pórová polievka,Bravčový rezeň na prírodno s volským okom a dusenou ryžou,,,
2021-09-16,Kasa,Karfiolový krém,Šošovicové ragú s pečenou cviklou,Morčacia sviečková,,
2021-09-16,Milton,Držková polievka tak ako má byť  Chlieb,Domáca sekaná s mozzarellou a panchettou,Ragú z neúdeného tofu a pošírovanej cvikly s kokosovým mliekom,Omáčka vínovo tymianová Steakové hranolky Restovaný špenát so šampiňónmiRump steak pripravovaný technológiou Sous Vide,Čokoládová lávová tortička a malinový couilis
2021-09-16,Prazsky pub,Šošovicová na kyslo,Sviečková na smotane s parenou knedľou,Farfalle s kuracím mäsom syrovou omáčkou a pórom,,
2021-09-16,Red Cafe,Hráškový krém s bazalkou polievka,Maďarský guláš domáca knedľa,Rizotto Spinaca s kuracim mäsom,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-09-16,Spilka,Kelová polievka,Bravčová kotleta so zemiakovým pyré a peper omáčkou,Arancini somáčkou z pečených paprík ašalátom,,
2021-09-16,Suvlaki,Šošovicová polievka,Zapečená TORTILA plnená tuniakom červenou fazuľkou a rukulou,Grilovaný KURACÍ STEAK so sušenými paradajkami a šampiňonmi,Zapečená PAPRIKA plnená syrom FETA na grécky spôsob,
2021-09-16,Svadby a Kari,Hráškovo kalerábová polievka s limetkou,Indická VEGAN Rajma Masala s paradajkami batátom a masľovou fazuľou uhorkový šalát,Thajské zelené hovädzie kari s cuketou paradajkami a zelenými fazuľkami   uhorkový šalát,,
2021-09-16,Veda,Thajská zemiaková s mini kukuricou,Mushroom Curry Hubové kari,Palak špenát Panner,,
2021-09-16,Veglife,Brokolicová krémová polievka,Bolonské lasagne,Indický dhál s batatmi ryža jasmínová,Tekvicový kotlík so seitanom pažítkové zemiaky,Šalát Fazuľkovo paradajkový so sezamom
2021-09-17,Alzbetka,Kačací vývar s rezancami,Bravčové trhané na zemiakovej placke kyslá smotana a nakladané uhorky,Vyprážaná morská šťuka s majonézovým šalátom      Mix listových šalátov a čerstvej zeleniny s Halloumi syrom,,
2021-09-17,Bioland,Šošovicová so špenátom a paradajkou alergény neobsahuje,Zeleninový špíz s tofu a pomarančovým dresingom pečené baby zemiaky alergény sója,THAI karí so zeleninou v kokosovom mlieku ryža basmati s granátovým jablkom alergény neobsahuje,Raw jahodová torta alergény orechy,
2021-09-17,BlueBear,Karfiolová polievka so zemiakmi,Morčací gordon blue s varenými zemiakmi a tatárskou omáčkou,Šalát s grilovaným oštiepkom brusnicami a pečeným toastom,,TYZDENNE Pečená bravčová panenka so zemiakovou štrúdľou a čučoriedkovou redukciou
2021-09-17,Centr klub,Mäsový vývar so zeleninou a rezancami,Francúzske zemiaky kyslá uhorka,Bravčový rezeň zemiakovo cibuľový šalát,,
2021-09-17,Ceska piv,Slepačí vývar s mäsom a rezancami,Paradajková so syrom,Kuracie medajlónky s grilovanou zeleninou a ryžou,Maďarský guláš s parenou knedľou,XXL Vyprážaný bravčový rezeň varené zemiaky a miešaný šalát
2021-09-17,Dilema,Slepačí vývar s rezancami a zeleninou N,Kuracie rezančeky s horčicovou omáčkou pečené zemiaky lisový šalát,Hovädzí TOKÁN na červenom víne tarhoňa,Vyprážaný údený SYR hranolky domáca tatárska omáčka    Mani HdÁvramaA  ŠACA A,
2021-09-17,Galileo,Hrstoká polievka,Pikantné bravčové soté v zemiakovej placke,,,
2021-09-17,Kasa,Polievka z pečeného cesnaku,Zeleninová placka,Kura na bielom víne a olivách,,
2021-09-17,Milton,Hŕstková polievka s krúpkami a debrecínskymi parkami,Maďarský hovädzí guláš hovädzie zadné,Cisársky trhanec s hrozienkami,Grilovaný steak z tuniaka bazalkové maslo,Hovädzia sviečkovica pripravovaná v celku Sous Vide podávaná krájaná na tenké plátky
2021-09-17,Prazsky pub,Mrkvová polievka s hráškom a krupicovými haluškami,Vyprážaná morská šťuka so zemiakovým šalátom,Gnocchi s restovanou kuracou pečienkou šalviou paradajkami a parmezánom,,
2021-09-17,Red Cafe,Zeleninová s haluškami polievka,Kuracie Teriyaki basmati ryža,Penne s grilovaným lososom,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-09-17,Spilka,Cieerový krém sklobáskou      bo,Pečené kuracie stehná s domácou Zemľovou plnkou a ryžou,Domáci humus z pečenej repy s pita chlebom,,
2021-09-17,Suvlaki,Mrkvová polievka,Pečený LOSOS s tymiánom horčicovo medová omáčka,Zapečená kuracia rolka plnená syrom a slaninkou,Zapečený BAKLAŽAN s olivami bazalkou paradajkovou omáčkou a syrom feta,
2021-09-17,Svadby a Kari,Krémová cuketová polievka s rukolou VEGAN,Indická VEGAN mandľová Korma s cuketami batátmi hruškami a fazuľou uhorkovo paradajkový šalát,Thajské červené kuracie kari s farebnými paprikami a brokolicou   uhorkovo paradajkový šalát,,
2021-09-17,Veda,Šampiónová,Broccoli Takatak brokolicový pohľad,Vegetariánsky stroganov vegetariánsky stroganov na indický spôsob,,
2021-09-17,Veglife,Fazuľová polievka s koreňovou zeleninou,Kapustné strapačky z jačmenných krúpkov s tempehom,Cícerovo banánové karí so špenátom ryža basmati B V P,Celozrnné fusilli s paprikou olivami a balkánskym syrom,Šalát Uhorkovo paradajkový s olivami
2021-09-20,Alzbetka,Cesnaková číra s údeným mäsom,Bravčový Cordon Bleu s varenými zemiakmi a tatárskou omáčkou,Penne s paradajkovou omáčkou slaninou olivy parmezán a rukola,Grecký šalát s fet syrom,
2021-09-20,Bioland,Šampiňónová krémová s čerstvým špenátom alergény neobsahuje,Celozrnné špenátové lasagne s mozzarellou muškátovým orieškom a šalátom alergény lepok mlieko,Jesenná zeleninová panvička farebná ryža alergény neobsahuje,Raw karobovo banánová torta alergény orechy,
